Request_Number,Request_Type,Source,Summary,Date_Complete_Received,Decision_Communicated,Name,Number_of_Pages_Released
AG-2012-01896,General Records,Business,"A copy of the tree removal permits or any records related to the removal of trees for {a specified address}, Etobicoke. Only records from 2007.","October 2, 2012","October 29, 2012",All Disclosed,10
AG-2012-01897,General Records,Business,"A copy of any records related to work done on the water main system and sewage system in the vicinity of {a specified address} around September 16, 2010 and November 17, 2010.","October 2, 2012","December 21, 2012",Disclosed in Part: Partially Exempt,3
AG-2012-01898,General Records,Business,A copy of the red light camera records for Lakeshore Blvd. and Carlaw Avenue around 5:10 p.m. There was a motor vehicle accident within the intersection.,"October 3, 2012","October 31, 2012",No Records Exist,0
AG-2012-01899,General Records,Business,"A copy of the fire report for {a specified address}. The incident occurred on September 24, 2012.","October 2, 2012","October 26, 2012",Disclosed in Part: Partially Exempt,19
AG-2012-01901,General Records,Business,"A copy of the fire report for {a specified address}. The incident occurred on September 1, 2012.","October 3, 2012","November 2, 2012",Disclosed in Part: Partially Exempt,8
AG-2012-01902,General Records,Public,A copy of the building records and permits for {a specified address}.,"October 2, 2012","October 31, 2012",Disclosed in Part: Partially Exempt,1
AG-2012-01903,General Records,Public,A copy of the report for the garbage recycling bin (grey bin) hat went missing December 2011 at {a specified address}.,"October 2, 2012","October 31, 2012",All Disclosed,1
AG-2012-01908,General Records,Public,"A copy of the fire report for {a specified address}. The incident occurred on August 28, 2012. Fire Report No. F12088622.","October 3, 2012","November 2, 2012",Disclosed in Part: Partially Exempt,4
AG-2012-01909,General Records,Public,A copy of the fire inspection report for {a specified address}. This report states that the restaurant is not permitted.,"October 2, 2012","October 30, 2012",Disclosed in Part: No Records Exist,1
AG-2012-01918,General Records,Business,"A copy of the fire report for the motor vehicle accident at HWY 401 eastbound near Islington Avenue. The incident occurred on October 2, 2009 at approximately 5:15 p.m.","October 4, 2012","October 31, 2012",Disclosed in Part: Partially Exempt,3
AG-2012-01919,General Records,Business,"A copy of the fire report for {a specified address}, Scarborough. The incident occurred on September 12, 2012. The incident relates to an accident on an elevator.","October 4, 2012","October 30, 2012",Disclosed in Part: Partially Exempt,3
AG-2012-01920,General Records,Media,"A copy of the notes and other supporting materials used to prepare the City Ombudsman's Report 'An Investigation into the administration of the Public Appointments Policy' published September 28, 2012.","October 4, 2012","October 12, 2012",Nothing Disclosed (exemption),0
AG-2012-01921,General Records,Public,A copy of any documentation regarding {a specified address} over the past 5 years.,"October 2, 2012","October 31, 2012",Disclosed in Part: No Records Exist,43
AG-2012-01922,General Records,Public,"A copy of the records in the case file of maintenance complaints submitted by {an individual} against property owners {an individual}, including any work orders and non-compliance records, including records from Martin Rygiel.","October 5, 2012","October 26, 2012",Disclosed in Part: Partially Exempt,22
AG-2012-01923,General Records,Public,"A copy of the fire report for {a specified address}. The incident occurred on January 23, 2012.","October 5, 2012","October 26, 2012",Disclosed in Part: Partially Exempt,6
AG-2012-01924,General Records,Public,"A copy of the fire report for {a specified address}. The incident occurred on November 28, 2009.","October 5, 2012","November 6, 2012",Disclosed in Part: Partially Exempt,13
AG-2012-01925,General Records,Public,"A copy of the Road Dept. (Transportation) Report of the cleaning of the sidewalks on the north side of Hillhurst Blvd. from Bathurst St. East along Hillhurst to {a specified address}.  The cleaning occurred on Feb. 8, 2011 after 4.00 pm.","October 5, 2012","November 6, 2012",All Disclosed,2
AG-2012-01926,General Records,Public,"A copy of judgment issued by Urban Forestry relating to the submissions made for application to destroy a tree at {a specified address}.  The submissions were closed on June 12, 2012.","October 5, 2012","October 29, 2012",All Disclosed,1
AG-2012-01927,General Records,Public,A copy of all building documents for {a specified address} back to original date of construction.,"October 5, 2012","November 5, 2012",Disclosed in Part: Partially Exempt,240
AG-2012-01928,General Records,Public,"Copies of orders and other documents issued by Building relating to an exhaust system located at {a specified address}., and copies of orders and investigation reports on property maintenance, garbage, pest control from May 2010 to date.","October 4, 2012","November 14, 2012",Disclosed in Part: Partially Exempt,129
AG-2012-01929,General Records,Public,A copy of ML&S file # 12239436 relating to {a specified address}.,"October 4, 2012","November 2, 2012",Disclosed in Part: Partially Exempt,5
AG-2012-01930,General Records,Public,A copy of ML&S file # 1672400 for {a specified address}.  The By-law Officer is Peter Nelson.,"October 5, 2012","November 2, 2012",Disclosed in Part: Partially Exempt,36
AG-2012-01931,General Records,Public,"A copy of all records from 311, Building and ML&S for {a specified address}, from 2008 to present.","October 5, 2012","November 5, 2012",Disclosed in Part: Partially Exempt,76
AG-2012-01932,General Records,Public,A copy of the full case file of Inspector Peter Zambrowicz from Public health regarding complaint of mould in the basement of {a specified address}.,"October 9, 2012","November 1, 2012",Disclosed in Part: Partially Exempt,71
AG-2012-01933,General Records,Business,"A copy of road maintenance records for the period of Jan. 5, 2010 to and including Jan. 6, 2010, including snow removal information, salting, snow-plowing, snow removal schedules and complants on Eglinton Ave. E. between Midland Ave. and Brimley Rd.","October 9, 2012","November 8, 2012",All Disclosed,49
AG-2012-01934,General Records,Public,A copy of the complaint and investigation file related to {a specified address} from September 2012.,"October 5, 2012","November 2, 2012",Disclosed in Part: Partially Exempt,6
AG-2012-01938,General Records,Public,"A copy of the ambulance call report with respect to the slip and fall incident that occurred on November 8, 2008. The incident occurred at {a specified address}.","October 10, 2012","October 16, 2012",No Records Exist,0
AG-2012-01939,General Records,Business,"A copy of the tree removal permits or any records related to the removal of trees for {a specified address}, Etobicoke. Only records from 2007.","October 10, 2012","November 6, 2012",Disclosed in Part: Partially Exempt,9
AG-2012-01945,General Records,Business,"A copy of the fire report for {a specified address}. The incident occurred on August 5, 2012. Fire Report No. F12081882. Also a copy of any records related to the use of water or power washing to extinguish the fire.","October 10, 2012","November 8, 2012",Disclosed in Part: Partially Exempt,30
AG-2012-01946,General Records,Business,"A copy of the fire report for {a specified address}. The incident occurred July 17, 2011.","October 10, 2012","November 9, 2012",Disclosed in Part: Partially Exempt,21
AG-2012-01947,General Records,Business,"A copy of the fire report for {a specified address}. The incident occurred on September 29, 2012.","October 10, 2012","November 8, 2012",Disclosed in Part: Partially Exempt,12
AG-2012-01948,General Records,Business,"A copy of the fire report for {a specified address}. The incident occurred on September 25, 2012.","October 11, 2012","October 31, 2012",Disclosed in Part: Partially Exempt,31
AG-2012-01949,General Records,Business,"A copy of the fire report for {a specified address}. The incident occurred on August 3, 2011.","October 11, 2012","November 6, 2012",Disclosed in Part: Partially Exempt,13
AG-2012-01950,General Records,Business,"A copy of the fire report for {a specified address}. The incident occurred on March 21, 2012.","October 11, 2012","November 8, 2012",Disclosed in Part: Partially Exempt,15
AG-2012-01951,General Records,Public,A copy of the building inspection reports for {a specified address} related to permit no. 11 185 828 HVA 00 MS. Records should only be from the past 2 years.,"October 10, 2012","October 31, 2012",All Disclosed,4
AG-2012-01952,General Records,Business,A list of orchestras that hold a current lottery (bingo) license issued by the City of Toronto as well as a description of the charitable programme (or purposes) that each of these organizations are using the lottery proceeds for.,"October 11, 2012","November 8, 2012",All Disclosed,2
AG-2012-01953,General Records,Public,"A copy of building records related to {a specified address}, including records related to permit no. 061208, 352955, and 93 022136. Also any records indicating when this building was constructed.","October 9, 2012","November 6, 2012",Disclosed in Part: Partially Exempt,19
AG-2012-01954,General Records,Business,A copy of documents related to permit no. D881489 and any supplementary information for drains and water management issues at {a specified address}.,"October 5, 2012","October 29, 2012",Disclosed in Part: Partially Exempt,77
AG-2012-01955,General Records,Public,A copy of the report relating to a blocked drain causing sewer back up to flood the basement at {a specified address}.,"October 5, 2012","November 5, 2012",All Disclosed,11
AG-2012-01956,General Records,Public,"A copy of the Ministry of Transportation Traffic Report that describes the roadwork on June 19, 2012 in Sheppard and Bathurst area.","October 10, 2012","November 6, 2012",Disclosed in Part: Partially Exempt,40
AG-2012-01959,General Records,Public,"A copy of all records, documents, surveys or bylaws pertaining to the chain across the private drive entrance to the townhouse development on Triburnham Place.","October 9, 2012","November 7, 2012",No Records Exist,0
AG-2012-01960,General Records,Public,A copy of records from Toronto Animal Services Mobile Response Unit regarding complaint no. A12-17688 and A12-22216.,"October 9, 2012","November 6, 2012",Disclosed in Part: Partially Exempt,4
AG-2012-01961,General Records,Public,A copy of all records to date regarding the Animal Services file no. 12-011440. Also any records related to the individual at {a specified address} having an online dog training business.,"October 9, 2012","October 26, 2012",Disclosed in Part: Partially Exempt,8
AG-2012-01962,General Records,Public,A copy of the tree inspection report completed at {a specified address} in July of 2012. The 311 reference no. is 1567934.,"October 12, 2012","November 1, 2012",Disclosed in Part: Partially Exempt,3
AG-2012-01963,General Records,Business,A copy of any outstanding ML&S or Building work orders/permits pertaining to {a specified address}.,"October 12, 2012","November 9, 2012",Disclosed in Part: Partially Exempt,21
AG-2012-01964,General Records,Public,A copy of the Arborist Report relating to a tree at {a specified address} as well as any information relating to the owner of this property.,"October 12, 2012","November 12, 2012",Disclosed in Part: Partially Exempt,16
AG-2012-01965,General Records,Business,"A copy of all records related to the inspection by Urban Forestry - Ravine and Natural Feature Protection Unit at {a specified address} in 2012, including any follow-up action, arborist reports, protection plans, and replanting plans.","October 12, 2012","November 12, 2012",Disclosed in Part: Partially Exempt,39
AG-2012-01970,General Records,Business,"A copy of the fire report for {a specified address}. The incident occurred on September 19, 2012.","October 12, 2012","November 8, 2012",Disclosed in Part: Partially Exempt,10
AG-2012-01971,General Records,Media,"Copies of all expenses, fully itemized and receipts included, filed by board members of the various listed entitles since July 1, 2011 for Independent Investment Advisory Committee; Toronto Licensing Tribunal; Property Standards; Toronto Portlands, Zoo.","October 11, 2012","November 8, 2012",Disclosed in Part: Partially Exempt,59
AG-2012-01972,General Records,Public,"A copy of the application for a building permit to construct a new single family residence at {a specified address}. This application was submitted August 22, 2012.","October 11, 2012","November 7, 2012",Disclosed in Part: Partially Exempt,18
AG-2012-01975,General Records,Business,"A copy of the fire report for {a specified address}. The incident occurred on October 9, 2012.","October 12, 2012","October 26, 2012",Disclosed in Part: Partially Exempt,13
AG-2012-01976,General Records,Business,"A copy of the fire report for {a specified address}. The incident occurred on October 5, 2012.","October 12, 2012","October 26, 2012",Disclosed in Part: Partially Exempt,12
AG-2012-01977,General Records,Business,"A copy of the fire report for {a specified address}, Scarborough. The incident occurred on June 30, 2012. Fire Report No. F12070549.","October 12, 2012","November 9, 2012",Disclosed in Part: Partially Exempt,11
AG-2012-01978,General Records,Media,"A copy of any documents relating to the Fair Wage Office's investigation of the contractor referred to in the first paragraph of the section titled ""2011 Highlights"" on page 3 of the Fair Wage Office's 2011 annual report.","October 12, 2012","November 13, 2012",Disclosed in Part: Partially Exempt,1
AG-2012-01980,General Records,Public,"A copy of any and all past orders issued to Coldsprings Landscaping to stop their operation from {a specified address}, Etobicoke. Records from January 2004 to present.","October 10, 2012","November 1, 2012",Disclosed in Part: Partially Exempt,11
AG-2012-01981,General Records,Public,"A copy of the 2 documents related to {a specified address} from or around 1960, including any building permits or surveys.","October 11, 2012","November 6, 2012",Disclosed in Part: No Records Exist,2
AG-2012-01982,General Records,Public,A copy of any contractual agreement between the City of Toronto and Orgapower for the removal and/or disposal of City of Toronto sewage sludge.,"October 12, 2012","November 9, 2012",No Records Exist,0
AG-2012-01983,General Records,Public,A copy of any contractual agreement between the City of Toronto and Sittler Environmental for the removal and/or disposal of City of Toronto sewage sludge.,"October 12, 2012","November 9, 2012",No Records Exist,0
AG-2012-01984,General Records,Public,A copy of the animal services complaint files for {a specified address} from October 2011 and July 2012.,"October 12, 2012","November 15, 2012",Disclosed in Part: Partially Exempt,5
AG-2012-01985,General Records,Public,"A copy of the fire report for {a specified address}. The incident occurred on September 7, 2011. Fire Report No. F11103853.","October 11, 2012","November 6, 2012",Disclosed in Part: Partially Exempt,3
AG-2012-01992,General Records,Public,"A copy of the fire report for a motor vehicle accident that occurred at Bernice Crescent and Scarlett Road. The incident occurred on October 10, 2010 around 9:11 a.m. Fire Report No. F10115905.","October 15, 2012","November 14, 2012",Disclosed in Part: Partially Exempt,5
AG-2012-01993,General Records,Business,"A copy of the fire report for {a specified address}. The incident occurred on October 9, 2012.","October 15, 2012","November 13, 2012",Disclosed in Part: Partially Exempt,14
AG-2012-01994,General Records,Public,A copy of any building orders issued to {a specified address} in the past 12 months.,"October 15, 2012","November 14, 2012",Disclosed in Part: Partially Exempt,7
AG-2012-01995,General Records,Public,"A copy of all inspection reports for {a specified address} basement apartment for the past 3 years from ML&S, Public Health, and Fire Services.","October 15, 2012","November 14, 2012",Disclosed in Part: Partially Exempt,58
AG-2012-01996,General Records,Public,"A copy of the traffic camera video and stills from the DVP on May 27, 2012 between 5:00 a.m. to 6:00 a.m. Videos and images from cameras 68 to 71 and 73 to 77.","October 16, 2012","November 14, 2012",All Disclosed,27
AG-2012-01997,General Records,Public,"A copy of the bed bug complaint records for {a specified address} that was submitted by {an individual} in August, 2009. Also any associated records related to the complaint.","October 16, 2012","November 14, 2012",All Disclosed,1
AG-2012-01998,General Records,Public,"A copy of all business licenses issued to {a specified address} for the past 10 years, including any records and dates.","October 12, 2012","November 9, 2012",Disclosed in Part: Partially Exempt,98
AG-2012-01999,General Records,Public,"A copy of all documents related to the garage building at {a specified address} and who built it in 2005, also any records regarding the back porch and front deck, including any by-law enforcement records from 2011.","October 15, 2012","November 15, 2012",Disclosed in Part: Partially Exempt,22
AG-2012-02000,General Records,Public,"A copy of all complaint records and associated files from Public Health, MLS, and Building for {a specified address}. All records since August 2012.","October 16, 2012","November 12, 2012",Disclosed in Part: Partially Exempt,61
AG-2012-02001,General Records,Business,"A copy of the past bid tabulation for the ""Yellow Bag Program"" bag bid and a copy of the past yellow bag bid specification.","October 17, 2012","November 14, 2012",All Disclosed,11
AG-2012-02002,General Records,Public,"A copy of the archival records regarding the development of the Toronto-Dominion Centre Project. Fonds 200, Series, 368, File 105, Box 140170, Folio 12.","October 16, 2012","November 14, 2012",All Disclosed,327
AG-2012-02003,General Records,Public,A copy of records showing the date the school crossing sign was first put on the utility pole on the south side of Eglinton Avenue (first pole east of Atlas Avenue in front of the synagogue). Also any documents related to the decision of sign location.,"October 17, 2012","November 16, 2012",All Disclosed,1
AG-2012-02005,General Records,Business,"A copy of the fire report for {a specified address}, North York. The incident occurred on October 8, 2012.","October 17, 2012","November 9, 2012",Disclosed in Part: Partially Exempt,9
AG-2012-02006,General Records,Business,"A copy of the fire report for {a specified address}, Toronto. The incident occurred on June 18, 2012.","October 17, 2012","November 14, 2012",Disclosed in Part: Partially Exempt,13
AG-2012-02008,General Records,Public,"A copy of any records related to the dog bite at {a specified address}. The incident occurred on December 14, 2011.","October 18, 2012","November 15, 2012",Disclosed in Part: Partially Exempt,12
AG-2012-02009,General Records,Public,A copy of the complaint file regarding a dog at {a specified address}. The complaint was made to Animal Services in June 2012. Activity/Complaint No. A12-011847.,"October 18, 2012","November 15, 2012",Disclosed in Part: Partially Exempt,3
AG-2012-02010,General Records,Public,A copy of the operating agreement(s) with Toronto Community Housing for the 49 year lease lands of the co-op which Sonny Atkinson was apart of in 1995. Also copies of all agreements on the property of Atkinson Co-op Housing.,"October 17, 2012","October 23, 2012",Transferred Out in Full,0
AG-2012-02011,General Records,Business,"A copy of any outstanding orders or violations regarding {a specified address}. Any records from Building, MLS, Fire Services, Public Health, Toronto Water, or Transportation Services.","October 18, 2012","November 9, 2012",Disclosed in Part: Partially Exempt,11
AG-2012-02012,General Records,Public,"A copy of all building permits, zoning records, and any other building records for {a specified address}.","October 18, 2012","November 16, 2012",Disclosed in Part: Partially Exempt,37
AG-2012-02013,General Records,Public,A copy of the Public Health inspection report no. CRSIR 116008 for {a specified address}.,"October 16, 2012","November 13, 2012",Disclosed in Part: Partially Exempt,12
AG-2012-02014,General Records,Public,"A copy of the fire report for {a specified address}. The incident occurred on July 31, 2007.","October 18, 2012","November 14, 2012",Disclosed in Part: No Records Exist,5
AG-2012-02015,General Records,Public,A copy of the building permit history for {a specified address}.,"October 18, 2012","November 15, 2012",Disclosed in Part: Partially Exempt,62
AG-2012-02016,General Records,Public,A copy of the building records for {a specified address}.,"October 19, 2012","November 16, 2012",All Disclosed,43
AG-2012-02017,General Records,Public,"A copy of the Notice of Violation issued by Animal Services to {a specified address}. The notice was issued on September 27, 2012.","October 19, 2012","November 5, 2012",All Disclosed,1
AG-2012-02018,General Records,Business,"A copy of any records related to a City tree falling on a vehicle at {a specified address}, including any inspection and maintenance records from 1980 to present. The incident occurred on April 16, 2012.","October 19, 2012","November 19, 2012",Disclosed in Part: Partially Exempt,10
AG-2012-02023,General Records,Public,"A copy of the fire report for Victoria Park and Ellesmere Road. The motor vehicle accident occurred on October 28, 2010.","October 19, 2012","November 19, 2012",Disclosed in Part: Partially Exempt,2
AG-2012-02024,General Records,Public,"A copy of the Animal Services file no. 12-018480. This file relates to a dog attack that occurred on August 28, 2012.","October 18, 2012","November 16, 2012",Disclosed in Part: Partially Exempt,14
AG-2012-02025,General Records,Public,"A copy of all records for the past 50 years related to floods caused by sewers or weeping tile backups for {a specified address}, including any calls made to 311 or Toronto Water.","October 17, 2012","November 16, 2012",Disclosed in Part: Partially Exempt,23
AG-2012-02026,General Records,Public,A copy of the MLS file no. B22659 related to Opus One Design Build operating without a license.  The charge was laid against {an individual}.,"October 19, 2012","November 16, 2012",Nothing Disclosed (excluded),0
AG-2012-02027,General Records,Public,"A copy of any Building or MLS inspections, reports, notices of violation, orders, and/or investigations regarding {a specified address}.","October 18, 2012","November 15, 2012",Disclosed in Part: Partially Exempt,59
AG-2012-02028,General Records,Public,"A copy of any outstanding fire violations, fire work orders, any clearance certificates regarding fire separations, and a history of fire related work orders, fines and violations regarding fire separations for {a specified address}.","October 19, 2012","November 20, 2012",Disclosed in Part: Partially Exempt,71
AG-2012-02029,General Records,Public,"A copy of any outstanding fire violations, fire work orders, any clearance certificates regarding fire separations, and a history of fire related work orders, fines and violations regarding fire separations for {a specified address}.","October 19, 2012","November 19, 2012",All Disclosed,15
AG-2012-02030,General Records,Public,"A copy of any outstanding fire violations, fire work orders, any clearance certificates regarding fire separations, and a history of fire related work orders, fines and violations regarding fire separations for {a specified address}.","October 19, 2012","November 19, 2012",Disclosed in Part: Partially Exempt,56
AG-2012-02031,General Records,Public,"A copy of any outstanding fire violations, fire work orders, any clearance certificates regarding fire separations, and a history of fire related work orders, fines and violations regarding fire separations for {a specified address}.","October 19, 2012","November 14, 2012",Disclosed in Part: Partially Exempt,35
AG-2012-02032,General Records,Public,"A copy of any outstanding fire violations, fire work orders, any clearance certificates regarding fire separations, and a history of fire related work orders, fines and violations regarding fire separations for {a specified address}.","October 19, 2012","November 15, 2012",Disclosed in Part: Partially Exempt,82
AG-2012-02034,General Records,Public,"A copy of any and all records related to {a specified address}, including all permit records, inspections, complaints, electrical or plumbing records, structural records, any records related to additions to the building and infraction records.","October 19, 2012","November 23, 2012",Disclosed in Part: Partially Exempt,57
AG-2012-02035,General Records,Public,A copy of any and all fire incident reports for {a specified address} for as far back as possible.,"October 19, 2012","November 13, 2012",Abandoned/Withdrawn by Applicant,0
AG-2012-02036,General Records,Public,"A copy of the fire report for {a specified address} and the most recent fire prevention inspection report prior to May 29, 2012.","October 19, 2012","November 30, 2012",Disclosed in Part: Partially Exempt,77
AG-2012-02037,General Records,Business,"A copy of the plumbing reports for {a specified address}, including the report from September 28, 2012. Toronto Water reference no. 1724470.","October 22, 2012","November 21, 2012",Disclosed in Part: Partially Exempt,11
AG-2012-02038,General Records,Media,"A copy of all documents and reports on the Green Lane facility, including what tonage waste is dumped each year (a breakdown of how much each region dumps in waste at Green Lane) and the cost that the City charged each region for 2010 and 2011.","October 22, 2012","November 20, 2012",Disclosed in Part: Partially Exempt,3
AG-2012-02039,General Records,Public,"A copy of any records relating to the food service or cafeteria facilities at 1) Etobicoke Civic Centre, 2) York Civic Centre, 3) East York Civic Centre; during the time period of January 1, 2006 to present.","October 22, 2012","November 21, 2012",Disclosed in Part: Partially Exempt,227
AG-2012-02040,General Records,Business,"A copy of the fire report for {a specified address}. The incident occurred on July 4, 2011.","October 22, 2012","November 13, 2012",Disclosed in Part: Partially Exempt,10
AG-2012-02041,General Records,Business,"A copy of the fire report for {a specified address}. The incident occurred on October 3, 2012.","October 22, 2012","November 13, 2012",Disclosed in Part: Partially Exempt,13
AG-2012-02042,General Records,Business,"A copy of the fire report for {a specified address}. The incident occurred on October 5, 2012.","October 22, 2012","November 21, 2012",Disclosed in Part: Partially Exempt,10
AG-2012-02046,General Records,Public,A copy of the building file no. 112394 for {a specified address}.,"October 22, 2012","November 19, 2012",All Disclosed,12
AG-2012-02047,General Records,Public,A copy of the building work order history for {a specified address}.,"October 22, 2012","November 21, 2012",Disclosed in Part: Partially Exempt,74
AG-2012-02048,General Records,Public,A copy of the building file no. 11-235354BR/11-254224 V1 for {a specified address}.,"October 22, 2012","November 23, 2012",Nothing Disclosed (exemption),0
AG-2012-02049,General Records,Public,A copy of all building documents for {a specified address}.,"October 22, 2012","November 20, 2012",Disclosed in Part: Partially Exempt,505
AG-2012-02050,General Records,Public,"A copy of all quotations submitted for quotation request no. 6115-12-3176 issued August 28, 2012. RFQ No. 1129826 (Fire Services).","October 23, 2012","November 22, 2012",Disclosed in Part: Partially Exempt,28
AG-2012-02051,General Records,Public,"A copy of all records, including briefing notes, emails and other correspondence to and/or from Mayor Ford or the Office of the Mayor pertaining to Mayor Ford's attendance and participation at the International Day Against Homophobia and Transphobia.","October 23, 2012","November 20, 2012",Disclosed in Part: Partially Exempt,133
AG-2012-02053,General Records,Public,"A copy of the 911 call record regarding the motor vehicle accident that occurred on the Fred Gardiner Expressway and South Kingsway. The incident occurred on May 31, 2010.","October 23, 2012","November 16, 2012",No Records Exist,0
AG-2012-02057,General Records,Media,"A copy of all emails related to the road and culvert repairs on Greensboro Drive in August 2012 near the property owned by Deco Labels and Tags; including the initial emails, follow up emails, and emails.  Requesting same records released under 2012-1814.","October 23, 2012","November 5, 2012",Disclosed in Part: Partially Exempt,89
AG-2012-02058,General Records,Media,"A copy of all documents including but not limited to memos, emails, text messages, briefing notes and talking points related to the Mayor and his football activities. Records from September 2012 to present.","October 23, 2012","November 21, 2012",Disclosed in Part: Partially Exempt,31
AG-2012-02059,General Records,Public,"A copy of all building documents related for {a specified address}, including but not limited to inspection notes, reports, permits, etc.","October 22, 2012","November 20, 2012",Disclosed in Part: Partially Exempt,505
AG-2012-02060,General Records,Public,A copy of all building permit and Committee of Adjustment drawings/papers that relate to {a specified address}.,"October 19, 2012","November 19, 2012",No Records Exist,0
AG-2012-02061,General Records,Business,"A copy of the fire report for {a specified address}. The incident occurred on July 20, 2010.","October 23, 2012","November 19, 2012",Disclosed in Part: Partially Exempt,8
AG-2012-02062,General Records,Business,"A copy of the fire report for {a specified address}, Scarborough. The incident occurred on October 7, 2012.","October 23, 2012","November 22, 2012",Disclosed in Part: Partially Exempt,15
AG-2012-02063,General Records,Business,"A copy of the fire report for {a specified address}, Scarborough. The incident occurred on October 16, 2012.","October 23, 2012","November 20, 2012",Disclosed in Part: Partially Exempt,13
AG-2012-02064,General Records,Business,"A copy of the fire report for {a specified address}. The incident occurred on October 8, 2012.","October 24, 2012","November 23, 2012",Disclosed in Part: Partially Exempt,7
AG-2012-02065,General Records,Business,"A copy of the fire report for {a specified address}, Scarborough. The incident occurred on August 25, 2012.","October 24, 2012","November 27, 2012",Disclosed in Part: Partially Exempt,14
AG-2012-02066,General Records,Public,"A copy of the ambulance incident details call report with respect to the motor vehicle accident at Midland Avenue and Danforth Avenue in the parking lot of Fool U Supermarket. The incident occurred on December 24, 2011.","October 24, 2012","October 29, 2012",No Records Exist,0
AG-2012-02067,General Records,Business,"A copy of the witness statements related to the fire report no. F11049964 for the incident that occurred at {a specified address}. The incident occurred on May 5, 2011.","October 24, 2012","November 27, 2012",Disclosed in Part: Partially Exempt,22
AG-2012-02068,General Records,Public,A copy of the public health reports or outstanding issues regarding {a specified address}.,"October 24, 2012","November 19, 2012",All Disclosed,8
AG-2012-02069,General Records,Public,"A copy of the archival records related to S-21326 Honest Ed's. Fonds 200, Series 1187, Subseries 2, File 171.","October 24, 2012","November 14, 2012",All Disclosed,30
AG-2012-02070,General Records,Business,A copy of the fire inspection report for {a specified address}. The inspection occurred around September 2007.,"October 24, 2012","November 23, 2012",Disclosed in Part: Partially Exempt,3
AG-2012-02076,General Records,Media,"A copy of any and all correspondence and communications from or to {an individual}, a staff person in Mayor Rob Ford's Office, regarding preferred candidates for civic appointment as part of the civic appointments process.","October 24, 2012","November 21, 2012",Disclosed in Part: Partially Exempt,4
AG-2012-02077,General Records,Media,A copy of any and all correspondence and communications to or from Mayor Rob Ford and/or any member of the Mayor's Office staff on the topic of civic appointments as part of the civic appointments process.,"October 24, 2012","November 21, 2012",Disclosed in Part: Partially Exempt,5
AG-2012-02078,General Records,Business,A copy of the permit information for the demolition work that Joe Pace & Sons completed for {a specified address}.,"October 25, 2012","November 22, 2012",All Disclosed,10
AG-2012-02079,General Records,Public,A copy of a record indicating the name and address of the Tow Truck company shown as the holder of license #3638.,"October 25, 2012","November 22, 2012",Disclosed in Part: Partially Exempt,3
AG-2012-02080,General Records,Public,"A copy of the security report for a slip and fall incident that occurred on a ramp from Union Station (lower level) as it enters the Go Train concourse. The incident occurred on October 15, 2012 around 9:00 p.m.","October 25, 2012","November 22, 2012",All Disclosed,5
