Request_Number,Request_Type,Source,Summary,Date_Complete_Received,Decision_Communicated,Name,Number_of_Pages_Released
AG-2012-00600,General Records,Business,"A copy of the fire report for {an address.}. The incident occurred on October 30, 2011.","April 4, 2012","May 1, 2012",Disclosed in Part: Partially Exempt,9
AP-2012-00602,Personal Information,Public,A copy of the Ontario Works file for {an individual}.,"April 4, 2012","May 22, 2012",Disclosed in Part: Partially Exempt,300
AG-2012-00605,General Records,Public,"A copy of the renewable energy study phase 1 from February 24, 2012.","April 4, 2012","May 4, 2012",All Disclosed,339
AG-2012-00616,General Records,Business,A copy of all building documents for {an address}.,"April 4, 2012","May 4, 2012",All Disclosed,252
AP-2012-00590,Personal Information,Public,A copy of the Ontario Works file for {an individual}.,"April 4, 2012","May 14, 2012",Disclosed in Part: Partially Exempt,768
AP-2012-00610,Personal Information,Public,A copy of the Ontario Works file for {an individual}.,"April 4, 2012","April 30, 2012",Disclosed in Part: Partially Exempt,512
AG-2012-00607,General Records,Public,"A copy of the fire report for {an address}. The incident occurred on June 16, 2009. As well as a copy of the building permit for {an address}, file no. 09-184017 BLD.","April 4, 2012","May 4, 2012",Disclosed in Part: Partially Exempt,32
AG-2012-00608,General Records,Public,A copy of all information related to the 1980 Building permit for a private detached dwelling at {an address}.,"April 4, 2012","May 2, 2012",Disclosed in Part: Partially Exempt,34
AG-2012-00628,General Records,Public,A copy of the assessed value of construction at {an address}. This information may be with the building permit files.,"April 4, 2012","May 3, 2012",Disclosed in Part: Partially Exempt,11
AG-2012-00599,General Records,Business,"A copy of the fire report for {an address}. The incident occurred on April 17, 2008. Also any other incident reports, city orders/directions, correspondence, logs, notes, ect. relating to this property since April 17, 2008.","April 4, 2012","May 1, 2012",Disclosed in Part: Partially Exempt,6
AG-2012-00601,General Records,Public,"A copy of the fire report for {an address}. The incident occurred on March 18, 2012. Fire Report No. F12029701.","April 4, 2012","May 1, 2012",Disclosed in Part: Partially Exempt,5
AP-2012-00603,Personal Information,Public,A copy of the Ontario Works file for {an individual}.,"April 4, 2012","May 4, 2012",All Disclosed,58
AP-2012-00604,Personal Information,Public,A copy of the Ontario Works file for {an individual} from November 2006 to present.,"April 4, 2012","May 17, 2012",Disclosed in Part: Partially Exempt,313
AG-2012-00609,General Records,Public,"A copy of the Public Health records and updated ML&S documents regarding {an address} from October, 2011 to present.","April 4, 2012","May 2, 2012",All Disclosed,10
AG-2012-00619,General Records,Public,"A copy of the request for the replacement of damaged traffic signs at the intersection of Scarborough Golf Club Road and Dunelm Road. The traffic signs were replaced between July 1, 2011 and September 15, 2011. Also records relating to work completed.","April 4, 2012","April 25, 2012",Disclosed in Part: Partially Exempt,4
AG-2012-00613,General Records,Business,"A copy of records relating to work completed by the City of Toronto on {an address}. There was damage to the property on or about September 7, 2011.","April 5, 2012","June 7, 2012",Disclosed in Part: No Records Exist,43
AG-2012-00615,General Records,Public,"The number of tickets issued for parking illegally in the disabled parking space located near {two addresses} from January 2011 to February 25, 2012. Also the number of tickets issued from February 26, 2012 to present.","April 5, 2012","May 4, 2012",Disclosed in Part: No Records Exist,4
AG-2012-00614,General Records,Public,A copy of the demolition building permit for the residential home {an address}.,"April 5, 2012","May 3, 2012",Disclosed in Part: Partially Exempt,6
AG-2012-00620,General Records,Public,"A copy of all records, notes, photos, correspondence with the landlord/owner and all documents related to any work orders issued to {an address}.","April 5, 2012","April 25, 2012",Disclosed in Part: Partially Exempt,165
AG-2012-00578,General Records,Business,"A copy of the fire report for {an address}. The incident occurred on February 2, 2012.","April 10, 2012","May 1, 2012",Disclosed in Part: Partially Exempt,9
AG-2012-00624,General Records,Public,"A copy of all records and communications between the Toronto Zoo and the Performing Animal Welfare Society (aka PAWS), including all correspondence, reports and agreements between them.","April 10, 2012","June 8, 2012",Disclosed in Part: Partially Exempt,29
AG-2012-00621,General Records,Business,A copy of the bid documents provided by the three lowest bidders for the call document no. 279-2011 regarding various work required at Earl Bales Park.,"April 10, 2012","June 4, 2012",All Disclosed,94
AP-2012-00642,Personal Information,Public,A copy of the Ontario Works file for {an individual}.,"April 10, 2012","May 11, 2012",Disclosed in Part: Partially Exempt,563
AP-2012-00643,Personal Information,Public,A copy of the Ontario Works file for {an individual}.,"April 10, 2012","May 24, 2012",Disclosed in Part: Partially Exempt,760
AG-2012-00513,General Records,Business,"A copy of the fire report for {an address}. The incident occurred on October 14, 2011.","April 10, 2012","May 4, 2012",Disclosed in Part: Partially Exempt,7
AP-2012-00622,Personal Information,Public,A copy of the employment file for {an individual}.,"April 10, 2012","May 8, 2012",Disclosed in Part: Partially Exempt,197
AP-2012-00644,Personal Information,Public,A copy of the Ontario Works file for {an individual}.,"April 10, 2012","May 3, 2012",Disclosed in Part: Partially Exempt,254
AG-2012-00651,General Records,Public,"A copy of the building permits for {an address}, including permits for the additions, parking areas, etc.","April 10, 2012","May 4, 2012",No Records Exist,0
AG-2012-00652,General Records,Public,"A copy of all building permits, application materials, correspondence, related surveys, etc. for {an address} from 1970 to May 14, 2008. Also any records involving {an address}, including boundary disputes, fencing issues, and applications.","April 10, 2012","May 1, 2012",Disclosed in Part: Partially Exempt,21
AG-2012-00623,General Records,Public,A copy of all records involving the Medical Officer of Health and the Chair and Vice Chair of the Board of Health regarding item 2(a) of the Decision Document for the Board's meeting no. 3 on Water Fluoridation in Toronto.,"April 10, 2012","May 10, 2012",All Disclosed,9
AP-2012-00625,Personal Information,Public,A copy of the employment file for {an individual}.,"April 10, 2012","May 9, 2012",Disclosed in Part: Partially Exempt,146
AG-2012-00626,General Records,Business,"A copy of the fire report for {an address}, Scarborough. The incident occurred on March 27, 2012.","April 10, 2012","May 3, 2012",Disclosed in Part: Partially Exempt,7
AG-2012-00627,General Records,Business,"A copy of the fire report for {an address}. The incident occurred on March 18, 2012.","April 10, 2012","May 4, 2012",Disclosed in Part: Partially Exempt,18
AG-2012-00653,General Records,Public,A copy of the building permit and inspector notes for {an address}.,"April 10, 2012","May 9, 2012",Disclosed in Part: Partially Exempt,24
AG-2012-00635,General Records,Business,"A copy of records relating to the PFR decision regarding crossbow use at the archery range in ET Seton Park, including the total amount of time spent on the criteria for group and specific information on how a decision was made.","April 11, 2012","June 1, 2012",Disclosed in Part: Partially Exempt,30
AP-2012-00636,Personal Information,Public,A copy of the employment file for {an individual}.,"April 11, 2012","May 8, 2012",All Disclosed,36
AG-2012-00670,General Records,Public,"A copy of building reports for {an address}, Toronto.","April 11, 2012","May 7, 2012",Disclosed in Part: Partially Exempt,14
PHI-2012-00638,Personal Health Information,Public,"A copy of all Fudger House clinical notes and records for {an individualr} from September 24, 2010 to December 17, 2010.","April 11, 2012","May 16, 2012",All Disclosed,171
AG-2012-00671,General Records,Public,"A copy of inspection reports, including photos for {an address}, Toronto.  The permit numbers are 08-144062, REV 08-144062-01, 08-160219.","April 11, 2012","May 11, 2012",Disclosed in Part: Partially Exempt,66
AG-2012-00640,General Records,Government,"A copy of the fire report for {an address}. The incident occurred on April 2, 2012. Fire Report No. F12035786.","April 11, 2012","May 9, 2012",Disclosed in Part: Partially Exempt,9
AG-2012-00634,General Records,Business,"A copy of records related to the Integrity Commissioner's reports on Violation of Code of Conduct (Item CC52.1, August 25, 2010) and Compliance with Council Decisions  (Item CC16.6 February 6-7, 2012). Also associated communication records.","April 11, 2012","June 7, 2012",Disclosed in Part: Partially Exempt,1155
AG-2012-00639,General Records,Business,"A copy of the fire report for {an address}. The incident occurred on September 6, 2010.","April 11, 2012","May 3, 2012",Disclosed in Part: Partially Exempt,2
AG-2012-00633,General Records,Media,"A copy of the Solid Waste Management Service assessments, cost analysis, polls, audits and status reports on the Blue Box program, Green bin recycling and garbage for landfills from January 2010 to April 2012.","April 11, 2012","May 8, 2012",Disclosed in Part: Partially Exempt,75
AG-2012-00641,General Records,Business,"A copy of the fire report for {an address}. The incident occurred on July 23, 2011.","April 11, 2012","May 9, 2012",Disclosed in Part: Partially Exempt,29
AP-2012-00647,Personal Information,Public,A copy of the Ontario Works file for {an individual}.,"April 11, 2012","May 16, 2012",Disclosed in Part: Partially Exempt,167
AG-2012-00630,General Records,Public,"A copy of the file no. 09 104824 PRS 00 IV, the verdict of hearing, the letter of appeal involving {an individual} and any other communication relating to these documents.","April 11, 2012","May 8, 2012",All Disclosed,31
AG-2012-00630,General Records,Public,"A copy of the file no. 09 104824 PRS 00 IV, the verdict of hearing, the letter of appeal involving {an individual} and any other communication relating to these documents.","April 11, 2012","May 8, 2012",All Disclosed,10
PHI-2012-00637,Personal Health Information,Public,A copy of the Kipling Acres file for {an individual}.,"April 11, 2012","May 2, 2012",All Disclosed,258
AG-2012-00631,General Records,Public,A copy of all pictures taken at {an address} in or around March 2012. Toronto Water took pictures of the underground pipes with a snake camera.,"April 11, 2012","April 26, 2012",Disclosed in Part: No Records Exist,9
AP-2012-00645,Personal Information,Public,A copy of the Ontario Works file for {an individual}.,"April 11, 2012","May 15, 2012",Disclosed in Part: Partially Exempt,143
AP-2012-00646,Personal Information,Public,A copy of the Ontario Works file for {an individual}.,"April 11, 2012","May 2, 2012",Disclosed in Part: Partially Exempt,225
AG-2012-00661,General Records,Public,A copy of files from Toronto Water relating to sewer back up for {an address} from January 2008 to April 2012.,"April 12, 2012","May 8, 2012",Disclosed in Part: Partially Exempt,11
AG-2012-00708,General Records,Public,"A copy of the two fire reports for {an address}. The incidents occurred on December 12, 2006 and December 17, 2006. Fire Report No.'s F06138892 and F06140768. Also include any warnings given to any parties and all instructions from Fire.","April 12, 2012","May 16, 2012",Disclosed in Part: Partially Exempt,17
AP-2012-00648,Personal Information,Public,A copy of the Ontario Works file for {an individual}.,"April 12, 2012","May 4, 2012",Disclosed in Part: Partially Exempt,125
AP-2012-00649,Personal Information,Public,A copy of the Ontario Works file for {an individual} from 2004 to present.,"April 12, 2012","May 23, 2012",Disclosed in Part: Partially Exempt,384
AG-2012-00654,General Records,Public,"All complaints involving City staff or building inspector regarding {an address}, including the details of the report and results. Also all building and construction permits, tree records, and parking issues with related call records.","April 12, 2012","May 9, 2012",Disclosed in Part: Partially Exempt,90
AG-2012-00655,General Records,Public,"A copy of the Public Health file no. 104881 regarding a rabies report victim, {an individual}.","April 12, 2012","May 10, 2012",Disclosed in Part: Partially Exempt,11
AP-2012-00650,Personal Information,Public,A copy of the Ontario Works file for {an individual}.,"April 12, 2012","May 3, 2012",Disclosed in Part: Partially Exempt,190
AG-2012-00662,General Records,Public,"A copy of the entire file # 10-299-079 relating to {an individual}, Scarborough.","April 13, 2012","May 16, 2012",Disclosed in Part: Partially Exempt,178
AG-2012-00664,General Records,Business,"A list of all building permits for {an address}, Toronto.","April 13, 2012","April 19, 2012",All Disclosed,7
AG-2012-00665,General Records,Business,"A copy of the Contract between the City of Toronto and {a named company} for security service provision at Union Station, 65 Front Street West.  The Contract awarded related to RFP# 9101-08-7168.","April 13, 2012","May 11, 2012",All Disclosed,20
AG-2012-00685,General Records,Public,"A copy of the health report regarding the visit to {an address}. On or about January 21 or 22, 2008 a health inspector visited this unit for mould in the carpet.","April 13, 2012","May 17, 2012",Disclosed in Part: Partially Exempt,31
AG-2012-00657,General Records,Public,A copy of the service request for the intersection of Bathurst Street and Fleet Street from October 2011.,"April 13, 2012","April 19, 2012",No Records Exist,0
AG-2012-00658,General Records,Business,"A copy of all building permit applications submitted by  {a named company} regarding {a named company} from 2003 to present, as well as all permits on file. Also contents of all files containing communications with the City and interested parties.","April 13, 2012","May 9, 2012",Disclosed in Part: Partially Exempt,122
AP-2012-00659,Personal Information,Public,"A copy of the employee file for {an individual} from January 14, 2010 to present.","April 13, 2012","May 10, 2012",All Disclosed,28
AG-2012-00660,General Records,Business,"A copy of any records relating to the servicing or inspection of the sewer/drainage system in and around {an address}, including reports, photos, documents, videos, etc.  Specifically any work completed on or around August 25, 2011.","April 13, 2012","May 11, 2012",Disclosed in Part: Partially Exempt,7
AP-2012-00656,Personal Information,Public,"A copy of the overpayment letter issued in 2002 from the Ontario Works file for {an individual} and associates documents (i,e. the first cheque stub issued indicating the start of the very first recovery payment dated 2002 and the overpayment amount).","April 13, 2012","May 4, 2012",All Disclosed,10
AG-2012-00669,General Records,Business,"Copies of any maintenance records, construction records, but not limited to work orders, contracts, and road closures for July 2011 for the sidewalk area of {an address}, Scarborough.","April 16, 2012","May 16, 2012",Disclosed in Part: Partially Exempt,22
AP-2012-00672,Personal Information,Public,A copy of Ontario Works file for {an individual} from November 2008 to present.,"April 16, 2012","May 10, 2012",Disclosed in Part: Partially Exempt,76
AG-2012-00673,General Records,Business,"Information on the Street Furniture Agreement signed July 20, 2007 relating to RFP # 91903-06-7316 (dated Sept. 8, 2006) between the City of Toronto and Astral Media Outdoor.  Please see attached request.","April 16, 2012","May 16, 2012",All Disclosed,22
AG-2012-00686,General Records,Business,"A copy of the fire report for {an address}. The incident occurred on March 15, 2012.","April 16, 2012","May 15, 2012",Disclosed in Part: Partially Exempt,12
AG-2012-00687,General Records,Public,"A copy of the fire report for {an address}. The incident occurred on March 14, 2012. Fire Report No.: F12028222.","April 16, 2012","May 9, 2012",Disclosed in Part: Partially Exempt,5
AP-2012-00693,Personal Information,Public,A copy of the Ontario Works file for {an individual}.,"April 16, 2012","May 18, 2012",Disclosed in Part: Partially Exempt,152
AG-2012-00663,General Records,Public,"A copy of meeting minutes between Toronto Region Conservation Authority and Toronto Building and City Planning staff relating to the house inspection at {an address}, Scarborough.  The meeting was held  on Jan. 15, 2008.","April 16, 2012","May 11, 2012",Disclosed in Part: No Records Exist,1
AG-2012-00666,General Records,Public,"Copies of any records relating to the servicing or inspection of the sewer/drainage system in and around {an address} Etobicoke, including, but not limited to report, photographs, documents and videotapes.","April 16, 2012","May 15, 2012",Disclosed in Part: Partially Exempt,20
AG-2012-00667,General Records,Business,"A copy of building permit file # 84-002359-00 for {an address}, Toronto.","April 16, 2012","May 14, 2012",Disclosed in Part: No Records Exist,1
AG-2012-00668,General Records,Public,A copy of all building inspection reports for {an address} from April 2000 to November 2011.,"April 16, 2012","May 11, 2012",All Disclosed,63
AP-2012-00691,Personal Information,Public,A copy of the Ontario Works file for {an individual}.,"April 16, 2012","May 10, 2012",All Disclosed,97
AG-2012-00717,General Records,Public,"A copy of records relating to sidewalk repairs in front of {an address} around March 13, 2012.. The whole in the sidewalk was from work completed by Toronto Water approximately 1.5 years ago.","April 16, 2012","May 14, 2012",All Disclosed,17
AP-2012-00692,Personal Information,Public,A copy of the Ontario Works file for {an individual}.,"April 16, 2012","April 19, 2012",Transferred Out in Full,0
AG-2012-00684,General Records,Media,"A copy of all inspection reports made and received between January 1, 2011 and January 17, 2012) related to bridges, viaducts, overpass or other similar constructions located within the limits of the City of Toronto.","April 17, 2012","May 11, 2012",All Disclosed,230
AG-2012-00675,General Records,Public,"A list of properties purchased or sold by the City of Toronto during the last year. The list should include the name of the buyer, seller, address, transaction, the area, and any other fields of information kept.  Please provide in Excel spreadsheet.","April 17, 2012","May 14, 2012",Disclosed in Part: Partially Exempt,2
AG-2012-00677,General Records,Public,"A copy of all maintenance records for the sidewalk and road outside of Malvern Town Centre from November 17, 2011 to present.","April 17, 2012","May 11, 2012",All Disclosed,6
AG-2012-00680,General Records,Media,"A copy of all EMS records relating to the Sunrise Propane explosion on {an address}.  Records should include, but not limited to reports, studies, emails with attachments, memos, directives, briefing notes, analysis, documents and assessments.","April 17, 2012","June 29, 2012",Disclosed in Part: Partially Exempt,412
AG-2012-00681,General Records,Media,"A copy of all fire incident reports, fire prevention reports, and all related records concerning the 2008 Sunrise Propane explosion that occurred August 10, 2008 at {an address}.","April 17, 2012","June 28, 2012",Disclosed in Part: Partially Exempt,813
AG-2012-00678,General Records,Association,A copy of the 2011 (actual) and 2012 (projected) parks budget numbers for Ward 18 including all expenses and revenues.,"April 17, 2012","May 9, 2012",All Disclosed,16
AG-2012-00678,General Records,Association,A copy of the 2011 (actual) and 2012 (projected) parks budget numbers for Ward 18 including all expenses and revenues.,"April 17, 2012","May 9, 2012",All Disclosed,3
AG-2012-00679,General Records,Association,A copy of the 2011 (actual) and 2012 (projected) recreation budget numbers for Ward 18 including all expenses and revenues.,"April 17, 2012","May 9, 2012",All Disclosed,0
AG-2012-00682,General Records,Media,"A copy of all health hazard investigations and hazardous material records relating to the propane filling stations in Toronto, not limited to the Sunrise Propane property at {an address}.","April 17, 2012","June 27, 2012",All Disclosed,25
AG-2012-00676,General Records,Public,A copy of the detailed receipts and reimbursement documents for the most recent out of province trip by Mayor Ford.,"April 17, 2012","May 8, 2012",Nothing Disclosed (exemption),0
AG-2012-00683,General Records,Media,"A copy of all records relating to the regulation and zoning of propane stations in Toronto from January 1, 2005 to present.  Records should include, but not limited to reports, studies, emails with attachments, memos, directives, briefing notes, analysis.","April 17, 2012","May 15, 2012",All Disclosed,807
AP-2012-00674,Personal Information,Public,"A copy of complete employment file for {an individual}, including payroll and attendance records, performance evaluations, job descriptions, job applications and medical records.","April 17, 2012","May 14, 2012",Disclosed in Part: Partially Exempt,70
AG-2012-00688,General Records,Business,"A copy of the fire report for {an address}. The incident occurred on March 24, 2012","April 17, 2012","May 17, 2012",Disclosed in Part: Partially Exempt,5
AG-2012-00690,General Records,Public,"A copy of the fire report for {an address}. The incident occurred on October 10, 2011. Fire Report No. F11132705.","April 17, 2012","May 9, 2012",Disclosed in Part: Partially Exempt,11
AP-2012-00695,Personal Information,Public,A copy of the Ontario Works file for {an individual}.,"April 17, 2012","May 29, 2012",Disclosed in Part: Partially Exempt,412
AG-2012-00715,General Records,Public,A copy of all ML&S and Public Health records relating to {an address} as well as the common areas of the building.,"April 17, 2012","May 11, 2012",Disclosed in Part: Partially Exempt,79
AG-2012-00716,General Records,Public,A copy of the fire prevention inspection conducted in March 2012 at {an address}.,"April 17, 2012","May 9, 2012",Disclosed in Part: Partially Exempt,11
AG-2012-00689,General Records,Business,"A copy of the fire report for {an address}. The incident occurred on April 8, 2012.","April 17, 2012","May 9, 2012",Disclosed in Part: Partially Exempt,12
AP-2012-00694,Personal Information,Public,A copy of the Ontario Works file for {an individual} from 2005 to present.,"April 17, 2012","May 18, 2012",Disclosed in Part: Partially Exempt,385
AP-2012-00696,Personal Information,Public,A copy of the Ontario Works file for {an individual}.,"April 17, 2012","May 23, 2012",Disclosed in Part: Partially Exempt,235
AG-2012-00700,General Records,Business,A copy of all invoices for four of the charges added to the tax certificate for {an address}.,"April 18, 2012","May 9, 2012",Disclosed in Part: Partially Exempt,6
AG-2012-00702,General Records,Public,A copy of all Public Health reports regarding the Patty King beef patty box that was picked up by Public Health from {an address} in March or April 2008. The Patty King beef patty box was purchased from No Frills at Albion Mall.,"April 18, 2012","May 11, 2012",No Records Exist,0
AP-2012-00697,Personal Information,Public,A copy of the Ontario Works file for {an individual}.,"April 18, 2012","May 24, 2012",Disclosed in Part: Partially Exempt,356
AP-2012-00698,Personal Information,Public,A copy of the Ontario Works file for {an individual}.,"April 18, 2012","April 30, 2012",Disclosed in Part: Partially Exempt,184
AG-2012-00704,General Records,Business,"A copy of the fire report for {an address}, Etobicoke. The incident occurred on April 9, 2012.","April 18, 2012","May 17, 2012",Disclosed in Part: Partially Exempt,11
AG-2012-00738,General Records,Public,All documents relating to building permit and public works (Toronto Water) for {an address}.,"April 18, 2012","May 15, 2012",Disclosed in Part: Partially Exempt,187
AG-2012-00701,General Records,Public,A copy of any records showing the reasons as to why the Urban Forestry Division denied a request to destroy a tree on {an address}.,"April 18, 2012","May 14, 2012",Disclosed in Part: Partially Exempt,3
AG-2012-00703,General Records,Business,"A copy of the fire report for {an address}, Etobicoke. The incident occurred on March 20, 2012 at approximately 10:30 p.m.","April 18, 2012","May 9, 2012",Disclosed in Part: Partially Exempt,11
AG-2012-00705,General Records,Business,"A copy of the fire report for {an address}, North York. The incident occurred on March 15, 2012.","April 18, 2012","May 15, 2012",Disclosed in Part: Partially Exempt,7
AP-2012-00699,Personal Information,Public,A copy of the Ontario Works file for {an individual} from April 2009 to present.,"April 18, 2012","May 25, 2012",Disclosed in Part: Partially Exempt,221
AG-2012-00719,General Records,Public,"A copy of the building documents for {an address}, including file no.'s: 199376 and 283680.","April 18, 2012","May 17, 2012",Disclosed in Part: Partially Exempt,19
AG-2012-00718,General Records,Public,"A copy of all building permits relating to {an address}, specifically any permits from 1980 or 1981. File No. 1980021378BLD and 1512221 00HH.","April 18, 2012","May 16, 2012",Disclosed in Part: Partially Exempt,30
AG-2012-00706,General Records,Business,"A copy of the fire report for {an address}. The incident occurred on July 10, 2010 and the fire was in the 3rd floor stairwell.","April 19, 2012","May 9, 2012",Disclosed in Part: Partially Exempt,9
AG-2012-00712,General Records,Public,A copy of any records related to any initiative over the past year to improve processing time and efficiency in processing Freedom of Information requests.,"April 19, 2012","May 14, 2012",All Disclosed,19
AG-2012-00724,General Records,Public,"A copy of all records relating to a stop sign that was erected at Wychwood Avenue and Benson Avenue, including any records relating to trees or shrubs blocking the stop sign at {an address}.","April 19, 2012","May 16, 2012",All Disclosed,7
AG-2012-00714,General Records,Public,"A copy of the water shut-off records for {an address} from June 1, 2010  to present. Including the dates and times for which the water was shut off.","April 19, 2012","May 9, 2012",Disclosed in Part: Partially Exempt,9
AP-2012-00722,Personal Information,Public,A copy of the Ontario Works file for {an individual}.,"April 19, 2012","May 25, 2012",Disclosed in Part: Partially Exempt,340
AP-2012-00723,Personal Information,Public,A copy of the Ontario Works file for {an individual}.,"April 19, 2012","May 10, 2012",Disclosed in Part: Partially Exempt,291
AP-2012-00721,Personal Information,Public,A copy of the Ontario Works file for {an individual}.,"April 19, 2012","May 31, 2012",Disclosed in Part: Partially Exempt,270
AG-2012-00709,General Records,Public,A copy of records showing the number of cell phones issued to employees of the City of Toronto and the cost of cell phone used for the two most recent completed budget years.,"April 19, 2012","June 5, 2012",All Disclosed,1
AG-2012-00711,General Records,Public,"A list of all vehicles in the City of Toronto's passenger-vehicle fleet, including the model, model year, and how many are in the fleet.","April 19, 2012","May 17, 2012",All Disclosed,8
AP-2012-00720,Personal Information,Public,A copy of the Support Payment Agreement for {an individual} in the Ontario Works file of {an individual}.,"April 19, 2012","April 27, 2012",All Disclosed,3
AG-2012-00734,General Records,Public,"A copy of the entire file, including permits drawings, revised drawings, reports by engineers, building inspectors' notes, comments by other City staff relating to {an address}.","April 20, 2012","May 15, 2012",Disclosed in Part: Partially Exempt,144
AG-2012-00735,General Records,Business,"A copy of video of Agenda Item 2 relating to the North St. James Town of the Design Review Panel meeting held on March 19, 2012 at City Hall, Committee Room 2.","April 20, 2012","May 10, 2012",All Disclosed,1
AG-2012-00732,General Records,Public,All information for Cab-Ambassador {A49} where {an individual} was driver for Beck but is currently driver for Crown Taxi.,"April 20, 2012","May 22, 2012",Disclosed in Part: Partially Exempt,116
